"","Date","EC","CEO","COP","SLB","PTR","OXY"
"1","2011-01-01",30.988794,161.071869,40.578156,73.288773,109.19062,69.10582
"2","2011-02-01",30.35075,165.180756,44.218044,76.937134,106.885567,72.887032
"3","2011-03-01",30.212986,183.048721,45.878021,77.01844,119.367188,74.688301
"4","2011-04-01",31.808104,180.451736,45.32077,74.119713,114.137756,82.073883
"5","2011-05-01",33.393875,181.26918,42.063461,70.791557,112.993103,77.449181
"6","2011-06-01",32.321625,172.810715,43.715015,71.563164,116.912758,74.713142
"7","2011-07-01",31.029051,162.834549,41.854534,74.85141,113.870422,70.840187
"8","2011-08-01",32.520752,148.829788,40.036983,64.704994,102.878098,62.585842
"9","2011-09-01",29.969376,117.414307,37.24316,49.633625,96.46521,51.589664
"10","2011-10-01",31.643021,140.367081,40.966297,61.05109,105.922058,67.450882
"11","2011-11-01",31.805449,143.87236,42.490742,62.59671,106.853706,71.776321
"12","2011-12-01",33.538101,130.000107,43.414185,56.969063,101.590691,68.002434
"13","2012-01-01",38.472393,151.374069,40.637882,62.690147,118.907944,72.767311
"14","2012-02-01",43.836079,168.550659,45.60664,64.72509,122.773468,76.122337
"15","2012-03-01",46.020725,152.036453,45.825092,58.526287,114.846283,69.456062
"16","2012-04-01",48.740234,157.513901,43.18446,62.049774,121.621185,66.904617
"17","2012-05-01",47.044022,133.475632,41.25103,52.935619,103.029037,58.139984
"18","2012-06-01",44.066254,152.784348,44.757614,54.548031,107.713844,62.907345
"19","2012-07-01",45.203651,152.063187,43.604233,59.884346,104.210678,64.277779
"20","2012-08-01",45.693356,143.788132,46.02153,60.825535,100.340515,62.785866
"21","2012-09-01",46.546406,153.907944,46.33757,61.239899,109.905449,63.561367
"22","2012-10-01",46.767563,157.659409,46.880535,58.869209,115.521545,58.717957
"23","2012-11-01",45.922417,163.496384,46.681339,60.638756,113.300629,55.929283
"24","2012-12-01",47.130901,168.742722,47.542168,58.903507,122.345978,56.97039
"25","2013-01-01",49.998093,157.490677,47.550354,66.340805,121.001503,66.141731
"26","2013-02-01",45.456402,149.536743,47.509369,66.170815,116.559669,61.690807
"27","2013-03-01",43.063126,146.882889,49.833179,63.899696,112.16893,58.723549
"28","2013-04-01",37.573605,143.692108,50.123402,63.507217,108.799248,67.429863
"29","2013-05-01",36.105141,133.337448,50.861355,62.31266,98.43499,69.552628
"30","2013-06-01",35.030731,131.48674,50.685024,61.143707,95.83609,67.407204
"31","2013-07-01",37.970779,141.19043,54.337681,69.692825,100.953949,67.755936
"32","2013-08-01",37.196205,157.4104,56.134876,69.358643,94.216751,67.116798
"33","2013-09-01",38.31226,158.431015,58.85273,76.008034,95.212593,71.172256
"34","2013-10-01",39.444969,161.427017,62.087032,80.618759,100.449219,73.653152
"35","2013-11-01",34.006298,163.318069,62.253979,76.059639,105.566132,72.794571
"36","2013-12-01",32.024055,149.737488,60.415424,77.513397,97.318771,72.901909
"37","2014-01-01",28.534306,122.903481,55.541138,75.595634,85.054184,67.612961
"38","2014-02-01",28.592609,130.40387,56.866608,80.283157,93.647362,74.523285
"39","2014-03-01",33.972984,121.132095,60.802135,84.542496,96.219131,73.573593
"40","2014-04-01",31.224495,131.808243,64.224693,88.054253,102.267189,74.506905
"41","2014-05-01",32.271656,136.61969,69.090591,90.213326,105.441978,77.572784
"42","2014-06-01",31.865061,143.058884,74.751503,102.274742,113.709839,79.860504
"43","2014-07-01",29.823221,144.400253,71.93512,94.347954,116.897873,76.602623
"44","2014-08-01",30.56571,163.550644,71.420456,95.436005,128.427353,81.322144
"45","2014-09-01",27.639956,141.024628,67.287529,88.838524,116.390701,75.379593
"46","2014-10-01",23.688866,129.914383,63.444786,86.191475,115.794632,70.240318
"47","2014-11-01",17.934593,119.579048,58.673065,75.087746,98.743759,63.005398
"48","2014-12-01",15.13259,112.525467,61.3283,74.616005,102.379066,66.343132
"49","2015-01-01",14.40778,110.622902,55.929005,72.314194,100.173897,66.4291
"50","2015-02-01",14.779022,119.554138,57.900459,73.867737,107.370712,64.668724
"51","2015-03-01",13.453154,117.826073,55.890678,73.663254,102.609734,60.616573
"52","2015-04-01",15.13259,142.276901,60.971645,83.52446,118.950142,67.137001
"53","2015-05-01",12.816737,129.606995,57.165409,80.134392,109.326744,65.53611
"54","2015-06-01",11.720684,117.909149,55.752621,76.091049,102.240669,65.184082
"55","2015-07-01",10.784922,104.67276,45.702442,73.520897,92.063072,59.403442
"56","2015-08-01",10.011159,106.866058,42.203625,68.682823,78.167992,61.781273
"57","2015-09-01",9.036791,92.255402,44.126575,61.63113,65.217964,55.97633
"58","2015-10-01",8.903053,99.938911,49.085754,70.297539,74.568039,63.763573
"59","2015-11-01",8.014659,97.450989,50.402328,69.389153,67.531357,64.661766
"60","2015-12-01",6.696395,91.763039,43.539032,63.141804,62.201675,57.835629
